diagram_prefix,section_slug,section_name,diagram_codes,diagram_names,image_paths,source_section,source_diagram,oem_number,part_name,quantity,production_period,applies_for_models,notes,group_code,engine_tokens,interchange_signal,confidence_gate,required_verification,shared_engine_candidate,donor_engine_tokens,shared_confidence_statement,shared_required_verification
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,800708620,BOLT,06,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,A70862,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,25240KA040,SWITCH ASSEMBLY-OIL PRESSURE,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,25240,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,806931020,O RING,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,G93102,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,806786030,OIL SEAL,01,02.1997 - 07.1998,EJ18E +EJ20E +EJ25D,,G78603,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,803928010,GASKET,03,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,D92801,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,806786040,OIL SEAL,01,08.1998 - 11.1998,EJ18E +EJ20E +EJ25D,,G78604,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11093AA000,COVER-SERVICE HOLE,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,11093,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11021AA020,PLUG-CYLINDER BLOCK,03,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,NO.1,11021*A,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,806932030,O RING,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,G93203,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,15018AA021,UNION,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,15018,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,806919050,O RING,03,02.1997 - 09.1997,EJ18E +EJ20E +EJ25D,,G91905,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11021AA121,PLUG-CYLINDER BLOCK,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,NO.3,11021*C,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,10991AA000,SEAL RING-CYLINDER BLOCK,03,10.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,11071,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,800706500,BOLT,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,A7065,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11036AA001,BAFFLE-CYLINDER BLOCK,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,11036,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,800708630,BOLT,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,A70863,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,800506350,BOLT & WASHER ASSEMBLY,06,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,A50635,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11008AA161,BLOCK SET-CYLINDER,01,02.1997 - 03.1998,EJ25D,-E/#2213361,11008,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11008AA370,BLOCK SET-CYLINDER,01,03.1998 - 11.1998,EJ25D,E/#2213362-,11008,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match.",,,,
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,800210990,BOLT,08,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,A21099,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,803010120,WASHER,04,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,D01012,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11024AA210,PLUG-MAIN GALLERY,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,11024,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,037018200,GASKET-ALUMINIUM,,,,,037018200,,common_or_unspecified_bg_chassis_part,Can reach 95%+ only when the donor has the same OEM number or a verified Subaru supersession.,"Confirm same BG wagon body style, LHD/RHD where relevant, side, color/trim, and OEM number.",,,,
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,800910470,STUD,02,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,A91047,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11034AA000,WASHER-CYLINDER BLOCK SEALING,06,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,11034,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,804014060,STRAIGHT PIN,04,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,E01406,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,11021AA111,PLUG-CYLINDER BLOCK,01,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,NO.2,11021*B,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,engine-main,Engine Main,004_01; 004_02,CYLINDER BLOCK,/diagrams/01_ENGINE_MAIN/B11_004_01_LH_2_LR.gif; /diagrams/01_ENGINE_MAIN/B11_004_02_LH_2_LR.gif,Engine Main,CYLINDER BLOCK,800610010,BOLT,02,02.1997 - 11.1998,EJ18E +EJ20E +EJ25D,,A61001,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
005,engine-main,Engine Main,005_01,TIMING HOLE PLUG & TRANSMISSION BOLT,/diagrams/01_ENGINE_MAIN/B11_005_01_LH_2_LR.gif,Engine Main,TIMING HOLE PLUG & TRANSMISSION BOLT,802010080,NUT,02,02.1997 - 11.1998,,EJ18E +MT.EJ20E +GL.EJ20E +EJ25D,C01008,EJ18E;EJ20E;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match.",yes,EJ18E;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
